0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
1,-274.16,0.0011265,0.0018179,0.0044784,0.0099378,0.0019224,0.016104,0.00085463,-0.00025867,255.14,0.00041155,0.0031972,0.0073366,0.010957,0.0017473,0.0024934,0.0032018,0.0038102,0.00086248,0.0050025,0.00081774,0.0017473,0.0012771,0.0011516,0.01339,0.002259,0.0010853,0.00067738,0.0064547,0.0047418,0.010448,0.0058869,0.010271,0.0060433,0.011069,0.00034416,0.0099008,0.0020308,0.006105,1322.5,0.003796,0.016412,0.033318,0.4703,0.0061386,0.0030801,0.0010308,0.0011881,0.0036837,0.14222,0.010797,0.0023201,0.0011293,0.094854,0.0017886,0.0018072,0.00094959,0.005321,0.029339,0.0035274,0.0031395,0.003091,0.0032499,0.0016396,0.0070517,0.0083404,0.0010213,0.0014689,0.0019887,0.0058261,0.0027463,0.0012745,0.0014092,0.0011386,0.0085494,0.00096437,0.0044271,0.0039466,0.00087664,0.0002353,0.0017723,0.25108,0.0012899,2.664,0.0045076,0.0039648
2,1.066e-05,-7.8597,4.8311e-06,4.0284e-06,8.708e-06,1.0021e-05,1.1927e-05,6.3647e-06,5.666e-06,1.3649e-05,6.5412e-06,7.0435e-06,1.1209e-05,7.0722e-06,4.6236e-06,7.0414e-06,1.0164e-05,1.0999e-05,5.5271e-06,5.5616e-06,6.4323e-06,4.742e-06,5.9694e-06,7.2108e-06,1.2866e-05,4.9998e-06,5.2382e-06,5.849e-06,9.7204e-06,7.7501e-06,1.1833e-05,9.8516e-06,1.3109e-05,9.7802e-06,1.2796e-05,6.6269e-06,1.2869e-05,7.6336e-06,7.3219e-06,1.2326e-05,9.4932e-06,1.1233e-05,7.8112e-06,1.0935e-05,7.7013e-06,6.6244e-06,7.2757e-06,7.4505e-06,8.2092e-06,1.3708e-05,1.4187e-05,5.1138e-06,5.2454e-06,1.161e-05,7.7337e-06,8.1754e-06,6.1601e-06,7.8879e-06,7.8033e-06,9.5908e-06,-1.6572e-06,6.8435e-06,8.2646e-06,8.8716e-06,1.0306e-05,9.2131e-06,7.1142e-06,7.6317e-06,6.5433e-06,1.3332e-05,6.7279e-06,6.2556e-06,4.8816e-06,5.5657e-06,1.1086e-05,6.1153e-06,7.5994e-06,7.8515e-06,7.6534e-06,8.1357e-06,6.4237e-06,1.0199e-05,6.424e-06,0.39258,5.4829e-06,1.1185e-05
3,1.3008e-06,3.3686e-07,-6.6613,7.6977e-07,1.2612e-06,6.7799e-07,2.6704e-06,1.593e-07,3.3519e-07,2.5087e-06,2.0223e-07,7.9981e-07,6.9979e-07,1.1087e-06,2.5752e-07,5.4199e-07,6.2856e-07,9.855e-07,2.9634e-07,4.4011e-07,5.5439e-07,2.8925e-07,2.4223e-07,1.8644e-07,1.5228e-06,3.1349e-07,3.06e-07,2.3555e-07,7.2483e-07,4.9499e-07,1.1735e-06,1.1116e-06,1.002e-06,8.8056e-07,1.1115e-06,3.1839e-07,1.2495e-06,2.2031e-07,8.5297e-07,1.8295e-06,6.58e-07,1.0157e-06,1.7399e-06,2.6311e-06,7.6142e-07,7.1118e-07,3.2569e-07,3.8938e-07,6.4872e-07,2.1559e-06,1.8103e-06,2.1139e-07,3.1184e-07,2.3685e-06,5.2892e-07,4.9479e-07,1.4177e-07,5.8101e-07,1.2222e-06,9.6067e-07,2.7027e-08,9.6435e-07,2.5514e-07,3.9847e-07,1.2117e-06,1.1443e-06,5.1627e-07,4.016e-07,5.3892e-07,1.5876e-06,5.5837e-07,3.625e-07,3.6272e-07,1.6549e-07,1.1397e-06,3.2457e-07,6.1893e-07,9.4728e-07,3.5696e-07,2.7432e-07,3.5862e-07,1.218e-06,6.5675e-07,8.87e-06,7.301e-07,6.1868e-07
4,2.1961e-06,2.2586e-07,6.4016e-07,-6.3322,2.2823e-06,7.7714e-07,2.4279e-06,6.7185e-08,2.2289e-07,2.6906e-06,2.2467e-07,1.1528e-06,1.2859e-06,1.6543e-06,4.1064e-07,8.6057e-07,8.7222e-07,1.4116e-06,1.9603e-07,1.0189e-06,5.6336e-07,5.1306e-07,4.6616e-07,2.6616e-07,2.0575e-06,6.1414e-07,5.0908e-07,1.1393e-07,1.611e-06,8.045e-07,1.5608e-06,1.4144e-06,2.0058e-06,1.3117e-06,2.0609e-06,2.2287e-07,1.7334e-06,3.4576e-07,1.4329e-06,4.2205e-06,9.056e-07,1.591e-06,2.1917e-06,2.7265e-06,1.7685e-06,8.1831e-07,2.8213e-07,3.0177e-07,1.0949e-06,2.187e-06,2.1312e-06,4.2315e-07,2.5222e-07,2.3083e-06,7.5006e-07,7.239e-07,4.9852e-07,7.7715e-07,2.3024e-06,1.1013e-06,6.1339e-07,7.1064e-07,5.4393e-07,4.7351e-07,1.2361e-06,1.0824e-06,4.1038e-07,2.8717e-07,5.7438e-07,1.3104e-06,6.0384e-07,3.9464e-07,5.2887e-07,2.65e-07,1.6494e-06,2.9221e-07,1.1064e-06,1.4914e-06,3.1438e-07,2.3612e-07,2.9194e-07,2.875e-06,6.1051e-07,0.30357,1.0805e-06,1.0694e-06
5,0.0015748,8.0669e-05,0.00014286,0.00032592,-9.863,0.00019485,0.00086204,4.7832e-05,6.5864e-06,0.0022295,3.7198e-05,0.00030905,0.00035882,0.00078607,0.00011318,0.0002187,0.00019364,0.00029162,5.0906e-05,0.00038964,0.00012782,0.00012367,5.8227e-05,6.5373e-05,0.00072943,0.00013086,8.8079e-05,4.2453e-05,0.00030778,0.00028953,0.0004277,0.0003776,0.00061289,0.0003292,0.00063549,1.7008e-05,0.00052266,0.0001115,0.00036023,49.24,0.00026735,0.00047658,0.00079887,0.0015612,0.00043526,0.00019228,6.9863e-05,0.00010928,0.00028645,0.0017543,0.00067069,0.00015312,7.5434e-05,0.0025717,0.00017927,0.00018437,6.0631e-05,0.00030132,0.0023778,0.00025998,0.00034335,0.00029567,0.00017953,0.0001211,0.00051043,0.00054205,8.1027e-05,7.9252e-05,0.00015514,0.00033741,0.0002013,8.7385e-05,8.7003e-05,7.502e-05,0.00040724,6.2848e-05,0.00027497,0.00039322,6.793e-05,3.4402e-05,0.00010662,0.0074529,9.9284e-05,-0.091817,0.00031584,0.00028009
6,4.6996e-06,1.0251e-06,1.0069e-06,1.3875e-06,4.5344e-06,-7.385,5.6496e-06,8.0136e-07,1.0899e-06,6.102e-06,7.5085e-07,2.3037e-06,2.801e-06,3.6803e-06,8.4416e-07,1.6441e-06,1.66e-06,2.5192e-06,6.6495e-07,1.6353e-06,1.1101e-06,9.2502e-07,9.7892e-07,9.6276e-07,4.4816e-06,8.6144e-07,1.0191e-06,8.8854e-07,2.3177e-06,1.7528e-06,3.61e-06,2.924e-06,3.3296e-06,2.3192e-06,4.0608e-06,6.4403e-07,3.0904e-06,1.2088e-06,2.5816e-06,7.2343e-06,1.9811e-06,3.0321e-06,3.8535e-06,5.4969e-06,2.6934e-06,1.7631e-06,9.429e-07,1.0227e-06,1.8835e-06,4.3883e-06,5.6985e-06,1.2158e-06,7.4014e-07,4.4221e-06,1.9003e-06,1.9196e-06,1.1923e-06,1.6129e-06,4.7451e-06,2.35e-06,1.0114e-06,1.3093e-06,1.4778e-06,1.0388e-06,2.5643e-06,2.6354e-06,9.9527e-07,1.057e-06,1.389e-06,3.3093e-06,1.4356e-06,6.904e-07,9.7698e-07,6.8674e-07,3.5877e-06,8.6232e-07,1.7449e-06,1.8596e-06,1.0422e-06,1.0337e-06,9.5176e-07,4.4658e-06,1.2864e-06,0.34813,2.1547e-06,2.0523e-06
7,0.0020683,7.8736e-05,0.00020696,0.00028112,0.00096784,0.0005141,-22.004,0.00012527,0.00022734,17.276,-9.3967e-05,0.00060791,0.00052251,0.00091524,0.00017517,0.00031566,0.00043536,0.00062385,-9.7678e-06,0.00041728,0.00024535,0.00012995,0.00014935,0.00015308,0.0016768,0.00022856,0.00012533,0.00012226,0.00075271,0.00050977,0.00064163,0.0013952,0.0006519,0.00070189,0.0023218,5.654e-05,0.0012868,9.9987e-05,0.00080311,11.218,0.00031242,0.0014278,45.948,0.0055514,0.00063622,0.00028154,2.4377e-05,0.00010782,0.00037352,0.0023252,53.052,8.8777e-05,3.7275e-05,0.0048258,0.00024215,0.00023833,0.0002105,0.00043955,0.0010523,0.00062735,0.00030629,4.9971e-05,0.00028739,5.272e-05,0.00044232,0.00054864,0.00013373,0.00023914,0.00024119,0.0011342,0.00044733,0.00015382,0.00014552,3.1211e-05,0.0020576,0.00011416,0.00046466,0.00043673,1.058e-05,0.00011185,0.0001025,0.0029075,8.9552e-05,0.90864,0.00044924,0.00040743
8,3.0071e-06,3.3989e-06,1.2296e-06,6.8918e-07,9.0456e-07,4.1692e-06,5.8483e-06,-8.1786,3.61e-06,6.2738e-06,3.9598e-06,3.8059e-06,2.3995e-06,2.7816e-06,1.1432e-06,3.3498e-06,4.6271e-06,3.3744e-06,3.9668e-06,-2.3914e-07,3.1038e-06,3.4746e-06,1.9748e-06,3.1198e-06,5.9777e-06,2.0531e-06,2.0886e-06,6.059e-06,9.1138e-07,1.5454e-06,4.5542e-06,6.2706e-07,4.4214e-06,2.0263e-06,3.8322e-06,3.8376e-06,2.9916e-06,2.4817e-06,1.553e-06,4.9589e-08,3.1829e-06,2.3132e-06,1.6496e-06,1.5787e-06,2.8229e-07,2.3408e-06,2.5789e-06,3.4792e-06,2.4625e-06,3.3227e-06,4.5561e-06,1.7217e-06,2.6287e-06,-3.0227e-06,4.4486e-06,4.4836e-06,3.1558e-06,3.676e-06,2.0458e-06,3.5135e-06,3.2234e-07,3.4564e-06,3.2604e-06,2.349e-06,1.3906e-06,9.4155e-07,2.6402e-06,5.9936e-06,1.5291e-06,7.7472e-06,1.3834e-06,2.9095e-06,2.6282e-06,2.6176e-06,-2.0359e-06,2.2857e-06,-5.1252e-08,1.0585e-06,2.6342e-06,3.4478e-06,2.4992e-06,7.0339e-07,4.0218e-06,4.3872e-05,2.9821e-06,3.3442e-06
9,0.0017769,0.0011949,0.0010203,0.00083042,0.0015712,0.0022326,0.0037798,0.0014265,-4.8938e+05,0.0016601,0.0012997,0.0023112,0.00022989,0.0019153,0.0011573,0.0018303,0.0011846,0.0019624,0.0018526,0.0016717,0.0026554,0.0017716,0.0012658,0.0015076,0.0026386,0.00072954,0.0013461,0.0011235,0.0001495,0.00043142,0.0018652,0.001665,0.0008061,0.0013845,0.0013347,0.0016836,0.0010702,0.0011653,0.0010968,0.0017958,0.00089623,0.0010404,0.0014558,0.00083491,0.00087523,0.001539,0.0013229,0.0018239,0.00045359,0.0010872,0.0041759,0.0013889,0.0016979,0.0010919,0.0018637,0.0017087,0.0029419,0.00055665,0.0023656,0.0031898,0.0010834,0.0012852,0.0016662,0.0012788,0.0010914,0.0011398,0.0015194,0.0014018,0.0013953,0.0027008,0.0023656,0.00092937,0.0016105,0.0015067,0.0016452,0.0013262,0.00032758,0.0014935,0.0014216,0.0019434,0.0012421,0.00075921,0.0017371,0.011269,0.0014299,0.0015009
10,0.042866,0.0012638,0.00413,0.0086189,0.052362,0.010763,114.22,0.00052289,0.002952,-21.158,-0.0081224,0.015594,0.035528,0.025696,-0.0060667,0.014395,0.010314,0.016119,-0.00032696,0.015518,0.0024691,0.0065962,0.0034444,0.00084068,0.030452,0.0060304,-0.00015207,0.0065204,0.034449,0.015377,0.019419,0.0068404,0.020379,0.013335,0.17028,-0.0039114,0.039004,-0.0036778,0.013343,0.967,0.0030168,0.1497,0.073921,0.24684,0.023158,0.0059048,-0.0084157,0.004029,0.0082981,0.051067,0.015885,-0.0044815,0.00076597,18.23,0.0090687,0.0089894,-0.0007385,0.025353,0.12887,0.0027729,0.015171,-0.0028815,0.0031814,-0.0076507,0.016024,0.045153,0.0066622,0.0023045,-0.011156,0.0039844,0.0065868,0.0032727,-0.00039049,-0.002038,0.02549,0.0011576,0.0066469,0.034914,-0.0008637,-0.00074311,0.0027087,61.047,0.0040994,0.31153,0.0056484,0.0096767
