0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
11,2.9885e-06,4.4532e-06,1.9927e-06,2.7014e-06,2.5591e-06,4.9856e-06,3.8785e-06,5.0582e-06,4.2032e-06,2.1305e-06,-7.9518,5.6275e-06,3.2822e-06,3.9859e-06,2.6532e-06,5.1967e-06,5.4548e-06,3.899e-06,5.3072e-06,3.2488e-06,4.001e-06,5.7477e-06,3.9827e-06,5.2032e-06,2.9376e-06,1.3957e-06,3.1656e-06,4.1325e-06,2.6511e-06,2.6508e-06,7.1125e-06,3.5286e-06,6.2348e-06,3.9661e-06,9.9163e-07,9.1556e-06,3.4832e-06,5.1367e-06,3.6901e-06,2.9359e-06,3.74e-06,3.9355e-06,2.1817e-06,4.1678e-06,1.2156e-06,4.3387e-06,6.1523e-06,5.9331e-06,2.7439e-06,2.2976e-06,6.4056e-06,2.9496e-06,4.6018e-06,2.0117e-06,5.8817e-06,6.0329e-06,4.5744e-06,3.0443e-06,2.6843e-06,5.5171e-06,4.9991e-07,3.5623e-06,5.6885e-06,5.5035e-06,4.381e-06,3.5812e-06,3.7821e-06,4.0902e-06,5.3996e-06,5.862e-06,3.2584e-06,4.1335e-06,3.6957e-06,4.9614e-06,2.1891e-06,4.0883e-06,1.0215e-06,5.226e-06,5.1287e-06,5.7526e-06,4.2861e-06,3.5326e-07,5.17e-06,3.6393e-05,3.3252e-06,4.7302e-06
12,1.6014e-05,1.9331e-06,3.2065e-06,5.5403e-06,1.6346e-05,6.2227e-06,1.8194e-05,1.968e-06,3.0484e-06,1.8818e-05,2.2875e-06,-7.4091,5.7271e-06,1.3497e-05,3.0286e-06,6.8106e-06,4.097e-06,8.0551e-06,3.0421e-06,1.0976e-05,4.7526e-06,4.3329e-06,3.3103e-06,2.4481e-06,1.5486e-05,2.6632e-06,3.4545e-06,1.9943e-06,6.4187e-06,5.4229e-06,8.6847e-06,8.1909e-06,1.0307e-05,7.4754e-06,1.2283e-05,2.0542e-06,9.1483e-06,2.9938e-06,8.3421e-06,3.1004e-05,5.1848e-06,7.632e-06,1.2173e-05,1.7367e-05,7.2608e-06,5.9782e-06,1.8317e-06,3.8076e-06,6.194e-06,1.0359e-05,1.3892e-05,2.6714e-06,1.7704e-06,1.6992e-05,6.6476e-06,7.0475e-06,3.4402e-06,5.0568e-06,1.5632e-05,6.9519e-06,5.9855e-06,2.5247e-06,4.3262e-06,2.2923e-06,8.206e-06,8.0164e-06,3.3468e-06,2.5417e-06,3.2113e-06,8.9958e-06,3.8825e-06,2.8287e-06,3.8583e-06,3.0718e-06,6.9333e-06,3.3439e-06,6.5793e-06,1.0012e-05,2.5844e-06,1.6611e-06,3.1898e-06,1.7241e-05,4.1406e-06,0.3895,5.6057e-06,6.3642e-06
13,0.00059827,8.9859e-05,8.0913e-05,0.00018546,0.00042522,0.0002269,0.00090987,3.2138e-05,4.2061e-06,24.984,3.6058e-05,0.00016743,-20.684,0.000394,8.9464e-05,0.00011012,0.00035712,0.00045803,0.00011075,0.00018251,6.8407e-05,5.6e-05,8.5831e-05,7.4586e-05,0.00065438,0.00014352,0.00013186,2.7668e-05,0.0040193,0.00033476,0.00081985,0.00059358,0.00075028,0.00047383,0.001271,1.5625e-05,0.0023582,0.00016159,0.00039613,0.0011019,0.00033563,0.027949,0.0022608,0.0178,0.00064337,0.00027403,3.936e-05,9.3292e-05,0.00035546,0.0011996,0.00084321,0.00012685,3.8249e-05,0.003903,8.2959e-05,7.5194e-05,4.2035e-05,0.00027673,0.00056758,0.00029718,-3.7738e-05,0.00018472,0.00016965,0.00013761,0.00039624,0.00040085,0.00010906,9.7934e-05,0.00017895,0.00055921,0.0001704,0.00010452,6.8234e-05,7.586e-05,0.0011002,9.9834e-05,0.00040681,0.00019746,6.3297e-05,5.7326e-05,9.0582e-05,0.0007194,0.00012363,1.7198,0.00025551,0.00031553
14,0.0033472,0.00011133,0.00023976,0.00046558,0.0019154,0.0003659,0.0020173,0.00010902,6.7058e-05,0.0054462,9.3201e-05,0.00056551,0.00072655,-13.265,0.00015739,0.00040125,0.00034273,0.00058824,9.0009e-05,0.00068195,0.00017795,0.00022378,0.00012751,0.00012423,0.0014174,0.00023743,0.00014147,0.00011015,0.00060658,0.00047726,0.0010264,0.00069428,0.0010304,0.00064513,0.0011633,7.3526e-05,0.00093323,0.00024482,0.00072634,63.098,0.00046173,0.00098783,0.0026416,0.0046982,0.00075485,0.00042578,0.0001271,0.00013511,0.00047118,0.0032331,0.0018708,0.00027821,0.00013972,0.0030862,0.00037496,0.00036733,0.00014641,0.00042334,0.0034989,0.00047326,0.00051843,0.00038791,0.00035844,0.00018859,0.0008286,0.00076374,0.00019348,0.00014819,0.00026213,0.00077109,0.00031733,0.00015155,0.00016964,0.00012066,0.00079951,8.6551e-05,0.00054119,0.00062246,0.00014806,8.9438e-05,0.0001667,0.0042897,0.00020736,0.0031985,0.00053845,0.00047183
15,1.8066e-05,4.516e-06,3.6651e-06,6.9262e-06,1.3637e-05,8.0355e-06,1.6583e-05,2.1104e-06,5.4142e-06,1.2169e-05,3.8436e-06,1.0647e-05,9.6223e-06,1.0498e-05,-7.5929,5.6532e-06,7.7388e-06,1.0746e-05,5.1883e-06,8.9008e-06,9.5512e-06,5.0409e-06,6.5734e-06,4.8016e-06,1.1448e-05,7.8402e-06,5.9947e-06,3.2982e-06,1.1455e-05,4.3054e-06,1.2997e-05,1.1036e-05,8.531e-06,9.9771e-06,8.7303e-06,3.5276e-06,1.3292e-05,5.8808e-06,1.2108e-05,1.6504e-05,9.4875e-06,1.3044e-05,1.713e-05,2.3473e-05,5.1777e-06,6.4002e-06,6.031e-06,5.1937e-06,8.9056e-06,1.2222e-05,1.3487e-05,6.7451e-06,3.7941e-06,2.3155e-05,6.3298e-06,7.1175e-06,9.0097e-06,1.1184e-05,1.1669e-05,1.2883e-05,1.7221e-06,5.3339e-06,7.1043e-06,5.0767e-06,6.9295e-06,8.1454e-06,2.73e-06,4.4954e-06,7.6631e-06,1.0766e-05,7.4798e-06,3.7492e-06,7.8053e-06,3.6669e-06,1.5751e-05,3.8085e-06,5.034e-06,5.4559e-06,5.0105e-06,3.3628e-06,4.6645e-06,1.4854e-05,5.0956e-06,1.0196e-05,9.9515e-06,1.0995e-05
16,3.2165e-05,6.6416e-06,7.3489e-06,1.4031e-05,3.2346e-05,1.5011e-05,3.1262e-05,5.8855e-06,8.1534e-06,3.9817e-05,7.1569e-06,2.3001e-05,1.3139e-05,2.8684e-05,5.3837e-06,-7.8716,9.8695e-06,1.7049e-05,7.1893e-06,1.8124e-05,8.748e-06,9.4999e-06,7.5936e-06,7.5762e-06,2.2527e-05,7.5081e-06,7.2509e-06,6.5661e-06,1.3552e-05,1.0609e-05,2.2042e-05,1.3119e-05,2.0652e-05,1.5349e-05,1.6542e-05,6.7633e-06,2.0568e-05,8.9999e-06,1.9213e-05,4.8567e-05,1.1093e-05,1.4827e-05,2.2422e-05,2.5951e-05,1.6305e-05,9.7587e-06,6.9274e-06,9.1823e-06,1.0313e-05,2.4403e-05,2.4592e-05,7.1137e-06,5.8146e-06,2.4338e-05,2.0615e-05,2.104e-05,1.0246e-05,9.1527e-06,3.3989e-05,1.5247e-05,1.489e-05,5.7208e-06,1.1348e-05,6.2448e-06,1.8422e-05,1.7827e-05,7.6506e-06,8.3194e-06,7.8959e-06,1.7657e-05,8.9079e-06,7.3407e-06,9.0767e-06,7.5418e-06,1.7561e-05,8.6899e-06,1.3888e-05,2.2577e-05,7.5452e-06,7.7964e-06,9.4106e-06,3.1522e-05,9.4435e-06,0.25048,1.2687e-05,1.3028e-05
17,0.00027367,8.0922e-05,7.2795e-05,0.00012139,0.00022106,0.00012974,0.00051079,6.946e-05,4.4881e-05,0.00039843,6.4193e-05,0.00011858,0.00033247,0.0001912,6.381e-05,8.4047e-05,-10.264,0.00021498,9.3169e-05,9.1721e-05,5.4238e-05,4.7025e-05,5.1973e-05,7.4919e-05,0.00029451,6.1949e-05,6.1366e-05,6.9938e-05,0.00027676,0.00016105,0.00028935,0.00023949,0.00029851,0.00024904,0.0002693,4.3385e-05,0.00027283,0.0001643,0.00017224,0.00033042,0.00014742,0.00036714,0.0005265,0.00038801,0.00020841,0.00014314,6.2252e-05,8.3941e-05,0.00014119,0.00030752,0.00039669,6.9783e-05,4.8101e-05,0.00050114,8.4505e-05,7.5072e-05,3.2899e-05,0.00015909,0.00014834,0.00018937,-3.1454e-05,9.0976e-05,0.00011773,7.9299e-05,0.00015401,0.00014964,7.3226e-05,9.1545e-05,0.00011369,0.00026299,6.6344e-05,4.961e-05,7.5158e-05,7.3405e-05,0.00026829,7.8553e-05,0.00017019,0.00012449,7.1757e-05,6.6791e-05,8.596e-05,0.00031967,0.00018511,0.68244,0.00015117,0.00014133
18,2.7737e-05,5.2342e-06,6.87e-06,1.175e-05,2.5379e-05,1.1803e-05,5.5813e-05,3.0175e-06,4.4822e-06,5.0091e-05,2.7304e-06,1.3964e-05,2.5364e-05,2.2765e-05,5.3281e-06,8.7463e-06,1.2872e-05,-6.6949,4.0927e-06,1.2487e-05,6.565e-06,4.8545e-06,3.9392e-06,4.3841e-06,3.3404e-05,7.3794e-06,5.497e-06,1.6419e-06,2.0862e-05,1.2451e-05,2.1497e-05,2.9504e-05,2.7463e-05,2.1704e-05,3.5738e-05,3.3239e-06,2.7203e-05,6.2161e-06,1.7141e-05,5.4267e-05,1.5003e-05,2.5847e-05,4.4744e-05,5.5761e-05,1.9726e-05,1.3712e-05,3.7398e-06,4.1578e-06,1.5593e-05,3.3875e-05,3.7906e-05,6.5487e-06,2.8135e-06,6.142e-05,7.8304e-06,7.5439e-06,5.8143e-06,1.1276e-05,2.663e-05,1.6477e-05,2.1317e-06,9.0194e-06,9.1314e-06,5.2269e-06,1.3381e-05,1.2499e-05,6.8124e-06,6.0423e-06,9.107e-06,2.0323e-05,7.7719e-06,6.1349e-06,5.465e-06,3.1958e-06,2.5516e-05,3.8427e-06,1.9374e-05,1.1805e-05,3.7219e-06,3.7221e-06,4.0443e-06,3.8205e-05,7.5497e-06,0.34699,1.4598e-05,1.4693e-05
19,8.2744e-06,5.6312e-06,4.4585e-06,3.3592e-06,5.3936e-06,6.6236e-06,1.2396e-05,7.7731e-06,9.1877e-06,1.5744e-05,8.1392e-06,1.1203e-05,1.3268e-05,5.4035e-06,5.4932e-06,7.9718e-06,1.1851e-05,8.5819e-06,-7.891,9.4795e-06,5.5717e-06,9.2552e-06,5.4476e-06,6.4396e-06,1.0986e-05,2.6792e-06,6.4573e-06,7.986e-06,6.7467e-06,9.8441e-07,9.3494e-06,5.9527e-06,8.3254e-06,5.8509e-06,5.6931e-06,7.621e-06,1.2275e-05,6.0828e-06,4.2373e-06,5.5951e-06,2.9026e-06,1.192e-05,1.1096e-05,5.385e-06,3.0195e-06,5.103e-06,5.5748e-06,1.5024e-05,2.7626e-06,9.305e-06,1.475e-05,5.1435e-06,6.895e-06,-2.0871e-06,6.842e-06,7.5393e-06,1.0644e-05,6.6749e-06,5.3755e-06,7.574e-06,-1.558e-06,7.1655e-06,9.0709e-06,7.1049e-06,7.0361e-06,4.8815e-06,7.2788e-06,8.3081e-06,6.7622e-06,1.5946e-05,6.5406e-06,8.4443e-06,7.0261e-06,1.4363e-05,-2.6395e-06,1.2262e-05,4.4658e-06,8.3284e-06,6.4989e-06,7.3538e-06,1.1236e-05,4.1294e-06,1.1482e-05,-6.6235e-05,5.9841e-06,6.2738e-06
20,0.0072381,0.00060804,0.00069729,0.0019447,0.006622,0.0017526,0.0051547,-5.8339e-05,0.00087266,0.0081447,0.00052008,0.0043554,0.0024504,0.0055785,0.0010033,0.0021275,0.0012605,0.0028604,0.0010197,-51.579,0.0015152,0.0017253,0.00078306,0.00048851,0.0048458,0.0012483,0.00075715,-3.9417e-05,0.0024541,0.0021988,0.0033926,0.0045905,0.0035917,0.0028851,0.0034813,0.0001753,0.0047178,0.001402,0.0031145,0.020269,0.001654,0.0028631,0.0050205,0.0070928,0.0022946,0.0015056,0.00064567,0.00076685,0.0022511,0.0057333,0.0059114,0.0012653,0.00055412,0.011056,0.0015162,0.0014889,0.00096448,0.0008757,0.0067544,0.0025913,0.0023594,0.00086185,0.0016958,0.00048954,0.0022517,0.0020108,0.0014419,0.00076502,0.00091579,0.0025151,0.0017385,0.0011699,0.0011196,0.00095114,0.0040042,0.00096494,0.0030746,0.004287,0.00060358,0.00016287,0.001243,0.0090587,0.0011192,5.3208,0.0025092,0.0023559
