"x"
"ABF"
"ADM"
"AMFW"
"ANTO"
"ATST"
"AV"
"AZN"
"BA"
"BARC"
"BATS"
"BG"
"BLND"
"BLT"
"BNZL"
"BP"
"BT-A"
"CCL"
"CNA"
"CNE"
"COB"
"CPG"
"CPI"
"DGE"
"EMG"
"EXPN"
"GFS"
"GSK"
"HMSO"
"HOME"
"HSBA"
"IAG"
"IAP"
"IHG"
"III"
"IMB"
"INTU"
"ISAT"
"JMAT"
"KAZ"
"KGF"
"LAND"
"LGEN"
"LLOY"
"LSE"
"MKS"
"MRW"
"NG"
"NXT"
"OML"
"PRU"
"PSON"
"RB"
"RBS"
"RDSA"
"RDSB"
"REL"
"REX"
"RIO"
"RR"
"RRS"
"RSA"
"SAB"
"SBRY"
"SDR"
"SDRC"
"SGE"
"SHP"
"SKY"
"SL"
"SMIN"
"SN"
"SRP"
"SSE"
"STAN"
"SVT"
"TCG"
"TLW"
"TSCO"
"ULVR"
"UU"
"VED"
"VOD"
"WOS"
"WPP"
"WTB"
