0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86
11,2.9834e-06,4.4492e-06,1.9898e-06,2.7014e-06,2.5508e-06,4.9815e-06,3.8733e-06,5.0541e-06,4.1994e-06,2.1205e-06,-7.9518,5.6192e-06,3.2781e-06,3.9814e-06,2.6492e-06,5.19e-06,5.4506e-06,3.8947e-06,5.3023e-06,3.2381e-06,3.9977e-06,5.7406e-06,3.9814e-06,5.1988e-06,2.9341e-06,1.396e-06,3.1616e-06,4.1294e-06,2.6503e-06,2.6503e-06,7.1053e-06,3.5272e-06,6.2239e-06,3.9611e-06,9.9443e-07,9.1474e-06,3.4765e-06,5.1342e-06,3.6855e-06,2.9303e-06,3.7351e-06,3.9306e-06,2.1769e-06,4.1522e-06,1.2171e-06,4.3357e-06,6.1469e-06,5.9248e-06,2.7439e-06,2.2924e-06,6.3972e-06,2.947e-06,4.5989e-06,2.0027e-06,5.8754e-06,6.0267e-06,4.5712e-06,3.0425e-06,2.6797e-06,5.512e-06,5.0005e-07,3.5587e-06,5.6829e-06,5.4983e-06,4.3765e-06,3.5764e-06,3.779e-06,4.0894e-06,5.3969e-06,5.8564e-06,3.2538e-06,4.1299e-06,3.6917e-06,4.9547e-06,2.1829e-06,4.0819e-06,1.0212e-06,5.2217e-06,5.1251e-06,5.7482e-06,4.2796e-06,3.5032e-07,5.1643e-06,3.6391e-05,3.3213e-06,4.7239e-06
12,1.6002e-05,1.9309e-06,3.2034e-06,5.539e-06,1.6338e-05,6.2174e-06,1.818e-05,1.9665e-06,3.0442e-06,1.88e-05,2.2841e-06,-7.4091,5.7214e-06,1.3489e-05,3.0257e-06,6.8052e-06,4.0938e-06,8.0493e-06,3.0386e-06,1.0968e-05,4.7479e-06,4.3271e-06,3.3069e-06,2.4454e-06,1.5472e-05,2.6618e-06,3.4512e-06,1.9928e-06,6.4131e-06,5.4164e-06,8.6753e-06,8.1846e-06,1.0297e-05,7.4693e-06,1.2271e-05,2.0513e-06,9.142e-06,2.992e-06,8.3353e-06,3.0991e-05,5.1787e-06,7.624e-06,1.2165e-05,1.7343e-05,7.2563e-06,5.971e-06,1.8292e-06,3.8028e-06,6.1894e-06,1.0353e-05,1.3883e-05,2.669e-06,1.7685e-06,1.6972e-05,6.6434e-06,7.0428e-06,3.4383e-06,5.0534e-06,1.5624e-05,6.9448e-06,5.9841e-06,2.5216e-06,4.322e-06,2.2902e-06,8.198e-06,8.0079e-06,3.3442e-06,2.5397e-06,3.2073e-06,8.9873e-06,3.878e-06,2.8241e-06,3.8538e-06,3.067e-06,6.9191e-06,3.3394e-06,6.5765e-06,1.0005e-05,2.5817e-06,1.6607e-06,3.186e-06,1.7234e-05,4.1353e-06,0.3895,5.602e-06,6.3574e-06
13,0.0005978,8.9692e-05,8.0846e-05,0.00018537,0.00042487,0.00022667,0.00090933,3.2115e-05,4.2355e-06,24.984,3.6018e-05,0.00016728,-20.684,0.0003937,8.9394e-05,0.00011006,0.00035683,0.0004578,0.00011065,0.00018233,6.8358e-05,5.594e-05,8.5717e-05,7.4561e-05,0.00065388,0.00014343,0.00013162,2.7622e-05,0.0040188,0.00033443,0.00081927,0.0005933,0.0007498,0.00047355,0.0012702,1.5596e-05,0.0023576,0.00016143,0.00039584,0.0011015,0.00033525,0.027948,0.00226,0.017799,0.00064282,0.00027373,3.927e-05,9.3173e-05,0.00035504,0.0011988,0.00084261,0.00012678,3.8215e-05,0.0039022,8.2927e-05,7.5119e-05,4.2025e-05,0.00027648,0.00056729,0.00029702,-3.7497e-05,0.00018441,0.00016952,0.00013747,0.00039586,0.00040043,0.00010904,9.7829e-05,0.00017876,0.00055863,0.00017021,0.00010436,6.8176e-05,7.5727e-05,0.0010996,9.9696e-05,0.00040663,0.00019729,6.3229e-05,5.7314e-05,9.0483e-05,0.00071898,0.0001235,1.7198,0.00025539,0.00031528
14,0.0033463,0.00011114,0.00023953,0.00046559,0.001915,0.00036567,0.0020163,0.00010894,6.7021e-05,0.0054446,9.309e-05,0.00056524,0.00072597,-13.265,0.0001574,0.00040099,0.00034249,0.00058801,8.9884e-05,0.00068169,0.00017793,0.00022363,0.00012745,0.00012417,0.0014164,0.0002374,0.00014143,0.00011003,0.0006064,0.00047676,0.0010256,0.00069395,0.0010299,0.0006448,0.0011627,7.3512e-05,0.00093285,0.00024477,0.00072602,63.098,0.00046119,0.00098729,0.0026406,0.0046963,0.00075444,0.00042536,0.00012693,0.00013495,0.00047075,0.0032319,0.0018699,0.00027802,0.00013962,0.0030848,0.00037472,0.00036706,0.00014635,0.00042317,0.0034983,0.00047306,0.00051858,0.00038752,0.00035815,0.00018834,0.00082799,0.00076318,0.00019353,0.00014801,0.00026191,0.00077041,0.00031713,0.00015139,0.00016957,0.00012045,0.0007988,8.6346e-05,0.00054087,0.00062215,0.00014789,8.9367e-05,0.00016648,0.0042892,0.00020711,0.0031986,0.0005382,0.00047161
15,1.8055e-05,4.5142e-06,3.6684e-06,6.9229e-06,1.3643e-05,8.0322e-06,1.6574e-05,2.1124e-06,5.4147e-06,1.2175e-05,3.8377e-06,1.0637e-05,9.6154e-06,1.0497e-05,-7.5929,5.6507e-06,7.7323e-06,1.0739e-05,5.1864e-06,8.8926e-06,9.5487e-06,5.0341e-06,6.5687e-06,4.7945e-06,1.1445e-05,7.8329e-06,5.9895e-06,3.2984e-06,1.1447e-05,4.3025e-06,1.2979e-05,1.1026e-05,8.5238e-06,9.9695e-06,8.7375e-06,3.5234e-06,1.3287e-05,5.8745e-06,1.2095e-05,1.65e-05,9.479e-06,1.3037e-05,1.7117e-05,2.3439e-05,5.1799e-06,6.3898e-06,6.0236e-06,5.1903e-06,8.9014e-06,1.2226e-05,1.3482e-05,6.7415e-06,3.7946e-06,2.3137e-05,6.3276e-06,7.1153e-06,9.0041e-06,1.1176e-05,1.1675e-05,1.2872e-05,1.7308e-06,5.3325e-06,7.0962e-06,5.0713e-06,6.9265e-06,8.1385e-06,2.7319e-06,4.4895e-06,7.6508e-06,1.0758e-05,7.4763e-06,3.7488e-06,7.7978e-06,3.6618e-06,1.5747e-05,3.8048e-06,5.0304e-06,5.4581e-06,5.0057e-06,3.3628e-06,4.6613e-06,1.4857e-05,5.0899e-06,1.0177e-05,9.9489e-06,1.099e-05
16,3.2139e-05,6.6363e-06,7.3426e-06,1.4029e-05,3.2327e-05,1.5002e-05,3.1236e-05,5.8824e-06,8.1431e-06,3.9763e-05,7.1478e-06,2.2984e-05,1.3129e-05,2.8664e-05,5.3815e-06,-7.8716,9.865e-06,1.7037e-05,7.1818e-06,1.8105e-05,8.7422e-06,9.4864e-06,7.5879e-06,7.5691e-06,2.2501e-05,7.5057e-06,7.2463e-06,6.5602e-06,1.3547e-05,1.0605e-05,2.2021e-05,1.311e-05,2.0631e-05,1.534e-05,1.6525e-05,6.7546e-06,2.0555e-05,8.9984e-06,1.92e-05,4.8545e-05,1.1084e-05,1.4814e-05,2.2407e-05,2.591e-05,1.6296e-05,9.7527e-06,6.9235e-06,9.1713e-06,1.0309e-05,2.4389e-05,2.4577e-05,7.1097e-06,5.8063e-06,2.4308e-05,2.06e-05,2.1024e-05,1.024e-05,9.1482e-06,3.3966e-05,1.5232e-05,1.4886e-05,5.7214e-06,1.1336e-05,6.239e-06,1.8405e-05,1.7809e-05,7.648e-06,8.3129e-06,7.8881e-06,1.7645e-05,8.8996e-06,7.3315e-06,9.0684e-06,7.5311e-06,1.754e-05,8.6775e-06,1.3886e-05,2.256e-05,7.5392e-06,7.7885e-06,9.3989e-06,3.1506e-05,9.4333e-06,0.25048,1.2681e-05,1.3018e-05
17,0.00027344,8.0877e-05,7.2746e-05,0.00012134,0.00022099,0.00012966,0.00051045,6.9463e-05,4.4832e-05,0.0003981,6.4146e-05,0.00011849,0.0003322,0.00019106,6.376e-05,8.401e-05,-10.264,0.00021482,9.3063e-05,9.1682e-05,5.4215e-05,4.697e-05,5.1939e-05,7.4883e-05,0.0002943,6.194e-05,6.1311e-05,6.9947e-05,0.00027655,0.00016092,0.0002891,0.00023933,0.0002983,0.00024886,0.00026905,4.3386e-05,0.00027262,0.0001642,0.0001721,0.0003302,0.00014728,0.00036679,0.00052606,0.00038779,0.00020828,0.00014297,6.2184e-05,8.3858e-05,0.00014107,0.00030724,0.0003963,6.9769e-05,4.8072e-05,0.00050066,8.4483e-05,7.5061e-05,3.2871e-05,0.00015902,0.00014826,0.00018933,-3.1333e-05,9.0895e-05,0.00011766,7.9236e-05,0.00015394,0.00014957,7.3183e-05,9.1499e-05,0.00011364,0.0002628,6.6295e-05,4.9597e-05,7.5088e-05,7.3313e-05,0.00026812,7.8461e-05,0.00017016,0.00012447,7.1702e-05,6.6717e-05,8.588e-05,0.00031944,0.00018498,0.68244,0.00015109,0.00014122
18,2.7721e-05,5.2297e-06,6.8674e-06,1.1747e-05,2.5366e-05,1.1796e-05,5.5787e-05,3.0143e-06,4.4803e-06,5.0072e-05,2.7273e-06,1.3954e-05,2.5351e-05,2.2753e-05,5.3245e-06,8.7399e-06,1.2862e-05,-6.6949,4.0895e-06,1.2478e-05,6.5618e-06,4.8485e-06,3.938e-06,4.381e-06,3.3382e-05,7.3764e-06,5.4931e-06,1.6407e-06,2.0852e-05,1.244e-05,2.148e-05,2.9491e-05,2.7444e-05,2.1694e-05,3.5719e-05,3.323e-06,2.719e-05,6.213e-06,1.7131e-05,5.4248e-05,1.499e-05,2.5834e-05,4.4721e-05,5.5736e-05,1.9711e-05,1.3702e-05,3.7349e-06,4.1529e-06,1.5581e-05,3.3856e-05,3.7889e-05,6.545e-06,2.811e-06,6.1392e-05,7.8262e-06,7.5387e-06,5.8116e-06,1.1269e-05,2.6617e-05,1.6468e-05,2.1393e-06,9.011e-06,9.1263e-06,5.2227e-06,1.3373e-05,1.2492e-05,6.81e-06,6.0376e-06,9.1034e-06,2.0306e-05,7.766e-06,6.1285e-06,5.4608e-06,3.1901e-06,2.5503e-05,3.8373e-06,1.9371e-05,1.18e-05,3.7179e-06,3.7194e-06,4.04e-06,3.8189e-05,7.5433e-06,0.34699,1.4593e-05,1.4685e-05
19,8.2597e-06,5.6266e-06,4.4557e-06,3.3528e-06,5.3817e-06,6.6177e-06,1.2377e-05,7.7675e-06,9.1795e-06,1.5699e-05,8.1317e-06,1.119e-05,1.3252e-05,5.3951e-06,5.4912e-06,7.9635e-06,1.1837e-05,8.5751e-06,-7.891,9.4615e-06,5.5674e-06,9.2443e-06,5.441e-06,6.434e-06,1.0969e-05,2.6747e-06,6.4512e-06,7.9775e-06,6.7465e-06,9.8193e-07,9.3398e-06,5.9458e-06,8.3086e-06,5.8461e-06,5.6763e-06,7.6148e-06,1.2265e-05,6.0754e-06,4.2314e-06,5.5782e-06,2.8943e-06,1.1908e-05,1.1086e-05,5.3688e-06,3.0092e-06,5.0925e-06,5.5682e-06,1.5011e-05,2.7557e-06,9.2925e-06,1.4727e-05,5.1374e-06,6.889e-06,-2.0682e-06,6.8343e-06,7.5307e-06,1.0637e-05,6.6696e-06,5.3625e-06,7.5631e-06,-1.5436e-06,7.1648e-06,9.0617e-06,7.0969e-06,7.031e-06,4.8779e-06,7.2705e-06,8.3001e-06,6.7557e-06,1.5929e-05,6.53e-06,8.4303e-06,7.0166e-06,1.4348e-05,-2.6512e-06,1.2249e-05,4.4649e-06,8.3202e-06,6.4934e-06,7.3479e-06,1.1225e-05,4.1155e-06,1.1463e-05,-6.6223e-05,5.9791e-06,6.2619e-06
20,0.0072354,0.00060685,0.00069654,0.0019448,0.0066201,0.0017509,0.005151,-5.9722e-05,0.00087121,0.0081394,0.00051837,0.0043524,0.002448,0.0055761,0.0010024,0.0021253,0.0012601,0.0028583,0.0010178,-51.579,0.0015141,0.001723,0.00078207,0.00048708,0.0048415,0.0012479,0.00075562,-4.1021e-05,0.0024526,0.0021973,0.0033897,0.0045903,0.0035878,0.0028842,0.0034774,0.00017364,0.0047156,0.0014014,0.003113,0.020266,0.001652,0.0028612,0.0050183,0.0070869,0.0022927,0.0015033,0.00064473,0.00076492,0.00225,0.0057311,0.0059077,0.0012644,0.00055297,0.011052,0.0015145,0.0014867,0.00096325,0.00087412,0.0067516,0.0025892,0.0023606,0.00086028,0.0016942,0.00048871,0.002249,0.0020082,0.0014417,0.00076401,0.00091437,0.0025117,0.0017368,0.0011678,0.0011188,0.00094912,0.0039995,0.00096296,0.0030746,0.0042857,0.00060272,0.00016138,0.0012416,0.009057,0.0011171,5.3208,0.0025087,0.0023547
