0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100
11,-0.00047264,0.0024447,0.014953,0.0020472,0.0031481,0.065186,-0.0025704,0.0033545,0.00059999,-0.0028241,-0.081137,-0.00062902,0.00014337,0.0060005,-0.0010987,-0.0029845,0.0037865,0.0017668,0.0015464,-0.012108,0.0052736,-4.6988e-05,-0.0037557,-0.0021529,0.014242,7.7206e-05,0.0024456,0.00072121,0.0012173,-0.0033746,-0.0066409,0.045447,-0.0029875,-0.0020325,-0.0045676,-0.0016383,0.0044158,0.011878,0.011667,-0.0042326,-0.00075829,0.0037274,-0.00038374,0.0054348,0.0037314,-0.0013947,-0.0016354,0.00041651,0.0014989,-0.0034115,-0.001201,-0.0039925,-0.0060197,0.0066553,0.0083951,-0.001855,0.0077692,-0.016581,0.0026603,0.0082939,0.0024312,-0.00015923,-0.0053152,-4.6864e-05,-0.001767,0.0055777,-0.0020036,-0.0021769,0.020713,0.0003536,0.00572,-0.00092018,-0.0018061,-0.00048674,0.0087031,-0.0029502,0.0030681,0.004018,-0.002352,0.001697,-0.0014128,0.025826,-0.0018847,-0.0095688,-0.012742,0.0032933,0.0029599,0.0045096,-0.0013963,-0.007018,0.0042389,-0.0046852,0.0091256,-2.1094e-05,-0.0065488,-0.00088612,0.003456,-0.0046397,-0.0088784,-0.0074418
12,-0.0091209,-0.0084295,0.002512,0.00091238,-0.013483,0.00374,0.0037146,0.0041326,-0.0018294,-0.01454,0.0030346,-0.041063,-0.0014881,-0.00028087,-0.0019409,-0.00046061,-0.00093407,0.0053392,0.036066,0.0036014,-0.0051811,-0.010395,-0.0070907,0.0016868,0.0068516,-0.0092256,0.012744,0.0039819,0.02564,-0.00061642,0.00085952,-0.0030122,-0.047373,-0.040498,-0.0065753,-0.0079515,0.041475,-0.010116,-0.011665,0.00056887,0.00055592,-0.0029118,0.0064957,0.0095067,-0.010338,-0.016341,-0.011804,0.0004108,-0.006971,-0.0051637,-0.0017586,-0.00062739,-0.0022621,0.004556,-0.010066,-0.0054747,0.0052472,-0.0045973,0.0043485,0.01035,0.0055295,0.0063452,-0.00027827,0.017498,0.019888,0.0007335,0.030821,0.059162,-0.0014046,-0.022849,0.0056916,0.0086801,-0.074151,-0.0002428,0.031661,-0.0092054,0.00065128,-0.0029106,0.0094829,-0.0055203,0.0058859,0.012239,-0.00019096,0.00096802,0.0014076,-0.017486,0.016397,0.0046564,-0.00092811,0.010468,0.082235,-0.0014897,-0.0021642,0.0020161,-0.0036355,-0.0016642,0.0050835,-6.3621e-05,0.025523,0.0048939
13,-0.019412,-0.069708,0.10245,0.0036714,0.025002,-0.0034483,0.01428,-0.0038612,0.027041,-0.004434,0.023344,-0.0040805,-0.21571,0.01376,-0.011851,0.0018636,0.0079189,0.0054629,0.0012071,-0.0048089,0.043945,0.0022139,0.013536,0.010742,0.0021288,0.026032,0.0031438,-0.00018497,-0.0059569,0.012277,0.02248,-0.020568,-0.00019744,-0.017026,0.01304,0.0028384,-0.0060727,-0.018028,-0.0020055,-9.4162e-05,0.022481,0.0054264,-0.0043556,-0.0023573,0.0059966,0.0037797,0.0057625,-0.00011966,-0.0011146,0.011876,-0.001839,-0.0046195,0.0068895,-0.0015141,0.058075,0.0073407,-0.0033187,0.02297,0.0011899,0.016352,-0.002779,0.015362,-0.0090815,-0.0015729,0.021199,-0.012803,-0.0021594,-0.016535,-0.0016793,0.0049492,0.0021409,-0.0010884,0.0028129,0.0094198,0.0016548,0.0092962,0.017924,-0.024349,0.0099512,-0.013565,-0.024389,0.0041274,-0.00015954,0.013394,-0.020889,0.0078749,0.019124,-0.002145,-0.019347,-0.00011402,0.010708,-0.0049331,-0.012508,-0.003881,-0.0012089,-0.0013348,-0.014526,-0.010374,0.0070643,0.0065237
14,0.00022596,-0.0056573,-0.00039949,0.00026732,-0.0022415,-0.00018829,-0.00010196,0.0016542,0.00021236,0.00097394,0.0006691,-0.00049023,-0.00026436,-0.010603,0.00032247,-0.00028513,-8.213e-05,0.00036755,0.0058084,0.00065816,-0.00010038,-0.0014389,-0.00013673,0.0038237,-0.00021562,-0.00036217,0.0026398,0.00034689,0.00046285,-3.8715e-05,0.00026403,-0.00026127,0.00023498,-0.0059965,0.00027626,0.00012819,-0.00073707,-0.0014696,-0.00085738,-0.0014407,-0.00038357,-0.00034372,-0.00074489,-0.0010474,0.00035708,-0.0072867,-0.0045232,6.8079e-05,-0.00025947,-0.00040198,-8.5319e-05,6.4246e-05,0.00027789,-0.00016145,0.0024952,0.00040526,0.00040546,-0.0011397,-0.00018767,0.00021127,-0.00033531,0.0057133,-0.0022812,0.00088783,0.00038806,-0.00047167,0.0056715,-0.0021523,-0.0002724,0.00095696,-0.0019085,0.00060354,-0.0013778,0.0012423,0.00051938,0.0004089,-0.00021398,0.00036958,0.0011427,0.00020564,0.0016803,0.0010091,-0.00085534,0.0020558,0.00021106,-7.5746e-05,0.0026753,-0.00032643,-0.00044433,9.9951e-05,0.0013161,0.00066102,0.0010188,-0.00026633,-0.0055054,3.522e-05,-0.0011881,0.0016902,0.0011743,0.0015418
15,0.0016303,-0.021066,-0.0009435,0.0013486,-0.019119,-0.00051281,0.0035643,-0.0094372,-0.001705,0.009234,0.0010042,-0.0026037,-0.00022004,0.0037232,-0.18867,0.0089588,-0.0024345,0.00039523,0.01412,0.0047335,-0.00053712,0.00285,0.0019224,0.01632,0.001139,-0.0015525,0.020243,7.9262e-05,-0.00088666,0.0051986,-0.0029187,-0.00028142,-0.0044483,0.03597,0.00018186,-0.003898,0.003886,-0.0066864,-0.036099,0.10198,0.0022257,-0.013555,-0.0042887,-0.0095461,-0.00024336,0.00046365,0.094324,-0.0018504,-0.0089593,0.004435,0.00042895,-0.0033745,-0.0017539,-0.0033075,-0.021444,-0.0031567,-0.012252,0.032266,0.0014897,-0.074923,0.00098906,0.0063471,-0.0093188,-0.032635,-0.00031935,0.0041065,-0.0097136,0.00061059,0.0014153,0.01472,0.01061,-0.016219,-9.1827e-05,0.021453,0.0049532,0.00051199,0.0019277,0.0053786,-0.0023465,0.0054924,0.0046512,0.0040807,0.004039,-0.028511,-0.0019447,0.0078839,-7.5368e-05,-0.0031332,-0.0012482,0.0091592,-0.00047138,0.0052262,0.0154,0.0034191,-0.0059033,-0.0017021,-0.0035462,0.0075628,-0.0060505,0.047512
16,-1.8253e-05,-0.0039217,-0.00080704,0.00034184,-0.0071772,-0.0005069,0.00049213,-0.0046253,0.001415,0.0053768,0.00019889,0.0051081,-5.0794e-05,-0.00034537,0.006816,-0.073819,-0.0011492,6.6006e-05,0.0093269,-0.0018062,0.00046952,0.001131,-0.00056605,0.0083468,0.003807,0.0011745,0.015586,-0.0016783,-0.0056188,0.00022043,-1.5632e-05,-0.001681,0.0001802,0.00013491,-0.00053057,-0.0014319,-0.0069629,-0.0014994,0.00068913,0.0089349,-0.0012028,-0.0015389,-0.0057225,-0.0016879,-4.1359e-05,-0.0027421,0.015153,0.00029128,0.0028508,-0.00052824,0.00040332,-0.00037198,0.0002683,-0.0038662,-0.011826,8.2888e-05,-0.0026555,0.0037717,0.0014286,-0.0053399,-0.00085077,-0.00099866,0.00017925,-0.0061033,-0.00084359,0.0013498,-0.0039343,0.0022558,0.0022707,-0.0021914,0.0032088,0.0013629,-0.00016831,0.025239,0.00091694,0.0010443,0.00050196,-0.00086556,0.0022362,-0.0014055,0.0027635,0.0024268,0.0014434,-0.0051738,5.5495e-05,-0.00034702,-0.00077506,-6.5404e-05,-6.2074e-05,-0.00039494,0.00097978,0.00016032,0.0022611,-0.00046085,-0.00068926,-0.0013706,-0.0024441,0.0027699,0.0047478,0.021126
17,0.016051,-0.055021,-0.00095162,0.11389,0.0027539,0.0029494,-0.03863,-0.018727,0.0068365,0.0038652,0.024455,0.011273,0.042315,-0.010637,-0.02246,-0.03265,-0.050007,0.099793,-0.0020475,0.052119,0.013083,-0.00085892,0.019729,0.021183,-0.033448,-0.1129,-0.036886,0.022212,-0.015683,0.033273,0.010741,-0.01721,0.0044582,0.040831,0.0086663,0.064675,-0.044234,-0.0068693,0.0062509,-0.0023121,-0.032367,-0.0015486,-0.0030057,-0.020145,-0.0062007,0.0033269,0.010808,-0.030088,0.0092073,0.013983,0.015201,0.013543,0.0068406,-0.023814,0.064936,-0.0021978,-0.0033018,0.066948,0.025925,0.025507,0.022279,-0.0080794,-0.020113,-0.0029215,-0.0021052,-0.017753,-0.021686,0.0047265,-0.0073661,-0.015848,0.036769,0.014332,0.0045233,-0.00024901,0.0044717,0.0098673,0.022162,0.0078079,-0.0024297,0.0078609,-0.0033407,0.015366,-0.0013804,0.0094838,0.00042271,0.0089213,0.060145,-0.0017128,-0.01762,-0.002235,0.0038759,-0.0090542,0.0089251,0.0015383,-0.0014116,-0.038216,0.039527,0.007878,-0.03117,-0.031556
18,0.0094004,0.1022,0.035453,-0.0022145,0.0024239,-0.010741,-0.011806,-0.0030062,-0.0040385,-0.0014445,0.0013,0.0087391,0.024188,0.0079046,-0.0026188,-0.00081101,0.025092,-0.1827,0.0041533,0.021444,0.21347,-0.0029884,0.0023882,0.0074728,0.00041791,0.012059,-0.0039448,0.0018129,-0.0039147,0.0075398,-0.004703,0.0039507,-0.0013577,0.0065726,-0.0010564,-0.0054252,0.0015482,0.0095413,0.012389,0.011621,0.00088852,0.012155,0.0007153,-0.0087145,0.027066,0.00081084,-0.0050732,-0.013062,0.0018321,-0.0069498,0.016952,-0.0072821,0.0031894,0.0023199,-0.057734,0.0070064,0.0075549,0.007736,0.010224,0.0079687,0.015315,-0.0033001,-0.014231,-0.00090237,0.0011668,0.0076784,-0.01094,-0.0063392,-0.0022736,0.0012899,-0.0043707,-0.0075114,0.0033929,0.0072039,-0.0030766,-0.0067456,0.00033624,-0.010759,-0.01061,0.0067698,-0.00016197,0.025524,-0.0030509,-0.0053728,0.00077364,-0.0028534,-0.0013521,0.015744,-0.0078286,3.6242e-05,0.00015988,-0.011088,0.0061981,-0.0047427,0.0033899,-0.0055573,0.00638,0.0044899,-0.011491,-0.0038418
19,0.0041826,0.010797,-0.00067307,-0.00042435,-0.0021957,-0.0024476,-0.0035208,0.0023802,0.0030675,-0.0010119,-0.0002141,0.00049403,-0.0014646,-0.0002874,-0.00077663,0.0067059,0.00014664,0.0013997,-0.021863,-0.0011531,-0.020259,0.0002456,-0.0011984,0.0011405,-0.0025678,0.0012107,-0.00015479,-0.0021089,0.00083968,-0.0022405,-0.020558,0.01024,0.00014805,-3.5525e-05,0.0034008,0.00093014,-0.0011516,-0.0015307,0.0029762,0.031264,0.00017346,-0.00067375,0.00067316,0.0076618,0.00061394,0.015316,0.006662,-0.00030248,-0.002909,-0.0013739,-0.0032006,-0.0006146,-0.0092316,-0.0013693,0.019638,-0.00094293,0.00020685,-0.00059212,-0.0014291,-0.00035785,0.00072061,0.00036498,-0.0035514,0.0035176,-0.00081346,-0.0021603,0.012933,-0.00072455,-0.0076032,0.0029704,-0.009348,0.001718,0.00059306,-0.0057378,0.00020659,-0.00018609,-0.00078811,-0.001382,0.00074083,-0.0007914,-0.0049353,0.0013454,-0.010131,0.013359,0.00029742,-0.00021579,0.0085457,-0.00071994,0.00029697,-0.0003475,-0.0048121,-0.0010046,0.001092,-1.9022e-05,0.008603,0.00063479,-0.0008058,0.00034167,-0.0046119,-0.00079165
20,-0.001783,0.0017719,-0.0013773,0.0070747,0.0028832,0.012211,-0.0013351,0.004937,-0.0049875,0.0035549,-0.004446,0.0026263,-0.0022802,0.0037206,0.0038418,-0.0026962,0.0013026,-0.00070361,0.0032224,-0.038088,-0.0047299,0.0022259,-0.0019158,-0.0025194,0.0066544,-0.015597,0.026207,-0.00030008,7.5436e-05,-0.0001096,0.0078461,0.019454,0.0022525,0.0023179,-0.0017332,0.00093795,-0.0038706,0.0045757,0.0024569,-0.0018704,-0.0033382,0.0013919,-4.8555e-05,-0.0033019,0.0022505,0.00031363,0.00042031,7.93e-05,-0.0040423,-0.0056404,-0.010156,-0.006173,0.0019827,0.0033536,0.0032789,0.0024834,0.0092345,-0.015703,0.0041965,9.6146e-05,0.00089717,0.0062253,0.01771,0.0022798,0.003082,-0.0053522,0.0031401,-0.0031242,0.016504,-0.0050899,-0.0027126,0.0068759,-0.0037089,-0.010784,0.0012803,-0.0055267,0.001248,0.0016327,-0.00038382,-0.0022602,-0.0030977,0.0099113,-0.0027839,0.012202,0.0048209,-0.0067297,0.0032686,0.0039085,0.0052564,-0.0042409,0.0033073,-0.0054553,0.00061273,9.6087e-05,0.0045409,-0.0057918,0.0092119,-0.00015701,-0.0028256,0.0060218
