"x","Sector","Sector.type","MC"
"SVT","Utilities",10,5.68e+09
"SXS","Industrials",7,2.33e+09
"TALK","Communications",1,2.07e+09
"TCG","Consumers Discretionary",3,1.01e+09
"TED","Consumers Discretionary",3,1.1e+09
"TLW","Energy",4,2.13e+09
"TPK","Industrials",7,3.87e+09
"TSCO","Consumer Staples",2,1.294e+10
"TTA","Energy",4,1.0291e+11
"TW","Financials",5,4.99e+09
"UBM","Consumers Discretionary",3,2.68e+09
"ULE","Industrials",7,1.21e+09
"ULVR","Consumer Staples",2,1.0238e+11
"UTG","Financials",5,1.38e+09
"UU","Utilities",10,6.73e+09
"VCT","Materials",8,1.32e+09
"VED","Materials",8,1.52e+09
"VM","Financials",5,1.26e+09
"VOD","Communications",1,6.243e+10
"VSVS","Materials",8,1.02e+09
"WEIR","Industrials",7,3.36e+09
"WG","Industrials",7,2.7e+09
"WKP","Financials",5,1.06e+09
"WMH","Consumers Discretionary",3,2.76e+09
"WOS","Industrials",7,1.093e+10
"WPP","Communications",1,2.249e+10
"WTB","Consumers Discretionary",3,7.41e+09
"ZPLA","Communications",1,1.25e+09
