"","FTSE100_list"
"1","AAL"
"2","ABF"
"3","ADM"
"4","ADN"
"5","AGK"
"6","AMFW"
"7","ASHM"
"8","ATK"
"9","AV"
"10","AZN"
"11","BA"
"12","BARC"
"13","BATS"
"14","BBY"
"15","BDEV"
"16","BEZ"
"17","BFA"
"18","BGEO"
"19","BKG"
"20","BLT"
"21","BME"
"22","BNC"
"23","BNZL"
"24","BOK"
"25","BP"
"26","BRBY"
"27","BWY"
"28","BYG"
"29","CAPC"
"30","CBG"
"31","CCH"
"32","CEY"
"33","CNA"
"34","CNE"
"35","COB"
"36","CPG"
"37","CPI"
"38","DGE"
"39","DLG"
"40","DLN"
"41","DMGT"
"42","DNLM"
"43","DOM"
"44","DRX"
"45","ECM"
"46","ELM"
"47","EMG"
"48","ESNT"
"49","ESUR"
"50","ETO"
"51","EVR"
"52","EXPN"
"53","EZJ"
"54","FGP"
"55","FRES"
"56","GFS"
"57","GFTU"
"58","GKN"
"59","GLEN"
"60","GNC"
"61","GNK"
"62","GPOR"
"63","GSK"
"64","HAS"
"65","HIK"
"66","HL"
"67","HMSO"
"68","HOME"
"69","HSBA"
"70","HSV"
"71","HSX"
"72","HWDN"
"73","IAG"
"74","IAP"
"75","ICP"
"76","IGG"
"77","IHG"
"78","IMI"
"79","INCH"
"80","INDV"
"81","INF"
"82","IPO"
"83","ISAT"
"84","ITRK"
"85","ITV"
"86","JDW"
"87","JE"
"88","JLT"
"89","JUP"
"90","KGF"
"91","KGP"
"92","KIE"
"93","KYGA"
"94","LAND"
"95","LGEN"
"96","LLOY"
"97","LRE"
"98","MAB"
"99","MCRO"
"100","MERL"
"101","MGGT"
"102","MKS"
"103","MLC"
"104","MNDI"
"105","MRW"
"106","NG"
"107","OCDO"
"108","OML"
"109","PETS"
"110","PFC"
"111","PFG"
"112","PHNX"
"113","PNN"
"114","POLY"
"115","PRU"
"116","PSON"
"117","PTEC"
"118","PZC"
"119","QQ"
"120","RB"
"121","RBS"
"122","RDSB"
"123","RDW"
"124","REL"
"125","RGU"
"126","RIO"
"127","RMG"
"128","ROR"
"129","RPC"
"130","RR"
"131","RRS"
"132","RSA"
"133","RSW"
"134","RTO"
"135","RYA"
"136","SAB"
"137","SAGA"
"138","SBRY"
"139","SDR"
"140","SDRC"
"141","SGE"
"142","SGP"
"143","SHB"
"144","SHP"
"145","SKY"
"146","SL"
"147","SMDS"
"148","SMIN"
"149","SMWH"
"150","SN"
"151","SPD"
"152","SPI"
"153","SPX"
"154","SRP"
"155","SSPG"
"156","STAN"
"157","STJ"
"158","SVS"
"159","SVT"
"160","SXS"
"161","TALK"
"162","TCG"
"163","TED"
"164","TLW"
"165","TPK"
"166","TSCO"
"167","TTA"
"168","TW"
"169","UBM"
"170","ULE"
"171","ULVR"
"172","UTG"
"173","UU"
"174","VCT"
"175","VED"
"176","VM"
"177","VOD"
"178","VSVS"
"179","WEIR"
"180","WG"
"181","WKP"
"182","WMH"
"183","WOS"
"184","WPP"
"185","WTB"
"186","ZPLA"
