"X1","X2","X3","X4","X5","X6","X7","X8","X9","X10","X11","X12","X13","X14","X15","X16","X17","X18","X19"
1081.7,1149.8,1186.35,1129.8,1197.25,1241.45,1261.6,1299.6,1237.35,1208.65,1262.95,1251.1,1199.55,1161.9,1098.05,1031,1041.7,1044.875,1045.7
1879.35,1906.475,1912.85,1900.3,1805.9,1837.8,1896.95,1849.8,1716.375,1755.7,1854.125,1897.425,1846.825,1827.875,1831.075,1873.35,1906.15,1867.375,1835.6
303.23505,319.48505,329.3651,323.64525,321.4151,338.72015,340.305,368.87,357.08,368.39,385.975,402.95,407.51,372.745,368.525,382.89,362.125,367.62,362.11
3128.9,3308.6,3434.3,3512.25,3481.4,3525.6,3498.1,3664.55,3645.5,3626.65,3729.6,3732.45,3674.8,3383.6,3068.25,3067.2,3188,3330.5,3260.7
831.825,859.775,862.85,905.65,899.525,955.275,942.725,839.675,801.925,760.575,753.75,735.325,685.95,671.05,642.125,667.35,699.975,716.525,654.725
866.75,908.3,860.3,866.475,917.625,938.15,914.925,894.725,894.925,895.725,942.85,961.725,957.825,878.3,914,953.8,919.125,912.425,931.05
684.9249,675.04995,762.12495,797.1501,798.55005,802.07505,780.62505,856.74975,879.5001,879.4251,1009.5003,1059.80025,1019.1999,985.77525,971.17485,1027.1247,1001.6004,708.26675,348.57505
382.915,397.615,387.855,386.195,406.5,384.18,330.62,288.665,288.205,257.84,274.98,239.615,232.425,223.06,241.015,263.915,290.2,311.37,307.175
208.995,211.755,242.72,242.945,246.145,236.26,215.01,202.08,183.615,179.83,207.36,229.02,231.3,221.905,215.7,239.79,262.65,264.91,280.73
276.415,279.01,286.165,303.96,308.085,303.36,265.61,256.535,237.355,225.305,237.94,240.14,231.56,212.51,215.21,232.425,233.385,212.275,211.545
165.775,179.045,196.97,209.355,187.235,174.315,156.81,160.61,158.835,158.475,159.945,163.575,166.28,160.15,155.075,153.19,153.005,137.07,126.685
772.9,892,1018.075,1013.875,985.175,997.425,1004.95,945.7,849.45,807.875,850.125,830,843.175,761.75,732.15,835.175,828.95,819.225,700.855
220.11,234.975,227.08,215.235,230.715,253.745,258.895,264.115,241.93,244.045,252.31,250.81,247.84,240.335,237.36,262.625,272.405,275.885,273.045
256.86765,253.29385,262.7214,272.68845,280.9585,293.10045,311.64465,289.0969,267.1329,239.08865,223.51,220.115,172.745,160.765,139.315,153.49,162.03,181.245,176.235
156.525,184.09,191.315,195.52,194.905,165.31,125.2,103.4375,78.955,72.5425,87.67,81.91,70.2525,63.8575,64.67,84.1825,109.6025,126.805,119.575
1120.2,1187.3,1156.85,1160.05,1190.65,1228.75,1182.15,1191.65,1099.2,1052.75,1106.65,1193.5,1183.5,1140.65,1144.95,1201,1251.85,1263.85,1283.6
1672.5,1761.45,1768.3,1857,1766.65,1589.2,1599.75,1690.9,1704.55,1754.9,1732.8,1707.95,1700.45,1659.7,1528.25,1514.7,1481.1,1468.55,1490.75
104.89,101.745,99.6675,98.665,105.565,117.985,121.01,116.455,109.36,99.77,98.7,103.3725,105.53,101.51,87.3375,94.1575,97.5375,101.025,105.0725
849.05,858.5,708.3,706.175,733.35,738.75,690.125,642.825,633.475,612.55,738.475,702.9,686.6,688.775,861.575,950.725,979.225,1082.9,1138.2
278.665,285.28,295.11,300.31,294.18,292.815,273.915,271.57,251.75,238.275,247.455,230.53,222.565,218.615,203.6,197.585,191.335,188.915,183.415
643.975,715.95,759.6,815.6,817.85,817.45,767.45,723.825,719.3,676.375,676.85,657.05,724.125,698.875,653.4,680.125,705.575,692.3,705.775
355.455,375.92,365.185,361.42,355.945,365.28,334.82,312.265,286.37,271.585,285.56,294.295,297.585,285.59,267.69,284.485,287.86,278.92,276.045
267.6825,276.4375,291.2725,291.595,305.0875,283.1475,257.025,213.0925,148.1575,111.4535,117.0325,97.5235,86.5095,80.603,104.1365,146.97,152.18,139.965,136.65
289.56,313.435,328.275,326.805,346.955,334.14,309.225,316.45,296.5,292.66,300.415,323.655,340.255,354.725,370.56,356.815,374.305,368.005,333.165
781.325,851.925,866.9,834.2,825.75,825.675,853.125,857.875,826.5,812.35,796.25,820.35,936.2,879.8,869.15,872.8,865.425,846.575,878.575
753.375,789.925,812.65,824.2,814.35,820.9,799.8,843.925,840.125,845.7,859.725,860.825,839.575,779.775,716.225,709.025,735.8,778.55,741.1
1429.525,1514.675,1574.025,1586.825,1485.05,1414.675,1362.175,1390.675,1338.925,1280.025,1353.1,1354.95,1337.65,1379.925,1394.4,1395.65,1460.525,1453.825,1433.825
148.33,156.405,155.905,158.11,157.355,163.32,165.365,169.135,160.5,154.495,139.28,142.665,143.16,127.22,120.485,120.62,125.49,128.51,131.3
2254.15,2441.65,2321.45,2170.5,2064.7,2032.1,1971.15,2253.1,2334.1,2372,2079.6,2062.55,2181.65,2093.45,1957.5,1801.65,2122.55,2254.15,2243.45
971.975,1025.7,1160.45,1192.55,1217.45,1254.8,1174.15,1185.8,1118.6,1212.75,1394.5,1467.75,1466.45,1344.85,1225.8,1275.75,1327.55,1275.15,1298.8
643.6,684.975,672.225,676.3,672.575,658.3,635.425,662.8,638.675,616.175,627.825,603.025,600.35,577.175,558.175,561.675,581.825,577.7,570.725
205.3,196.57,185.555,167.735,168.415,159.805,165.485,164.04,151.985,135.265,128.455,103.6675,100.96,140.0225,155.045,175.995,168.46,164.82,160.355
606.065,602.76,573.55,596.29,630.945,615.36,578.675,579.65,519.6425,502.68,516.325,527.195,524.7725,493.73,450.2025,452.6925,438.505,439.205,440.3
333.9399,335.72995,342.2349,379.67,393.9699,430.9147,428.29985,431.47,418.68,412.405,413.855,417.41,414.735,403.36,386.165,419.46,426.855,421.21,481.4
734.9,754.525,810.025,857.7,823.275,849.3,858.925,924.225,907.45,935.2,944.975,1001.125,1039.7,997,984.425,965.525,949,944.2,971.025
411.78,426.565,460.785,458.71,479.78,512.45,517.24,495.6,481.64,483.385,462.64,504.57,521.475,496.595,482.64,471.475,464.065,490.725,491.95
501.9,551.05,573.675,592.45,562.4,534.325,511.95,553.65,541.725,585.65,588.15,580.95,589,573.025,520.985,545.15,539.35,522.075,513.29
455.385,486.89,538.15,541.9,557.35,553,521.55,515.595,460.26,460.215,445.825,498.045,502.6,473.835,430.905,461.93,467.115,456.375,414.705
467.37515,500.50035,485.63025,526.6052,537.9252,585.00455,647.82105,603.76295,538.0506,531.2504,546.02565,586.17565,603.9002,579.97555,549.8004,589.2504,621.0005,636.27545,635.37545
732.7,713.475,734.95,721.725,748.75,775.95,759.825,746.325,722.275,752.15,739.325,766.825,779,758.025,727.7,767.65,787.325,763.35,790.175
2635.399,2604.249,2657.899,2707.099,2787.999,2721.499,2652.999,2644.449,2422.899,2337.899,2465.049,2542.949,2578.799,2395.199,2352.049,2744.599,3202.6696,2894.13,2629.8
1243.85,1387.45,1339.7,1273.8,1223.1,1229.05,1154.1,1079.7,1020.55,999.775,987.45,935.825,882.6,800.7,802.975,922.825,948.2,975.925,990.9
704.575,724.05,773.75,821.575,855.875,851.15,820.025,787.725,730.025,722.025,768.6,783.65,763.575,735.8,699.4,722.25,698.975,693.275,671.375
157.44,170.7,182.795,203.61,217.725,233.195,233.745,256.28,225.56,223.93,210.86,195.94,191.11,168.43,148.73,163.42,166.105,160.79,202.535
485.215,525.675,565.9,582.4,563,564.675,551.15,577.55,573.1,567.75,576.5,604.775,603.6,607.7,639.55,690.65,695.525,664.425,664.675
217.715,250.24,238.38,227.505,208.445,213.225,205.235,206.935,224.11,242.405,235.61,235.725,217.745,188.22,173.84,177.18,169.32,162.495,165.17
817.95,874.1,907.575,954.875,997.95,981.95,928.85,925.675,976.975,998.475,955.65,1057.375,1114.7,1079.7,1005.675,937.45,987.225,824.95,716.425
2336.65,2455.25,2546.1,2576.999,2650.75,2542.05,2408.7,2518.8,2534.1,2460.6,2593.55,2658.7,2758.6,2725.3,2793.4,3056.9,3199.75,3304.6,3156.9
219.165,228.22,245.83,260.255,260.96,268.055,268.28,270.95,249.755,247.195,249.94,264.295,269.115,264.135,251.645,239.475,238.85,217.445,209.835
809.275,794.575,792.975,760.05,781.475,792.925,782.275,714.2,744.525,724.5,756.45,712.475,753.15,683.35,703.025,706.95,695.425,709.625,729.075
338.535,359.02,354.285,440.545,462.8,441.915,406.345,428.93,399.48,393.75,425.385,433.145,467.45,442.76,357.99,385.485,374.705,407.31,441.08
923.925,958.65,1002.775,1039.1,1047.6,1032.75,1036.85,1035.05,1034.4,1014.925,971.875,892.3,910.525,875.825,806.775,837.45,853.2,870.275,906.25
357.745,392.47,419.06,421.035,440.67,462.04,445.445,457.97,439.98,441.99,441.545,462.54,451.73,415.315,389.065,403.56,411.765,421.24,428.88
332.31,340.75,363.88,361.695,356.295,371.38,357.855,367.08,357.19,354.715,355.47,350.325,332.07,330.07,327.11,348.38,370.99,361.785,363.09
1461.975,1632.25,1767.65,1833.85,1872.75,2039.35,2164.1,2258.55,2201.4,2228.8,2145.4,2431.45,2487,2329.95,2234.7,2234.3,2260.1,2344.8,2466.25
1231.79,1319.328,1360.602,1289.762,1298.563,1386.95,1424.85,1437.4,1470.95,1410.25,1385.35,1309.7,1338.45,1264.15,1277.95,1305.6,1252.85,1192.65,1207.1
6025.2,6359.4,6421.95,6532.5,6564.9,6725.85,6719.4,6946.55,6579.85,6567.9,7016.85,7354.05,7529.95,7432.8,7348.4,7989.75,8230.1,7968.95,7993.65
1219,1262.25,1254.05,1274.45,1267.95,1288.05,1252.5,1307.95,1264.25,1246.4,1314.75,1244.45,1183.2,1110.25,1031.2,1056.3,1105.05,1151.35,1152.1
251.705,271.015,285.01,281.73,263.15,264.53,256.135,267.035,255.24,245.245,254.8,268.42,264.89,244.675,217.46,236.015,236.91,223.765,229.24
74.611,75.9985,79.733,79.2985,83.67,87.3355,85.636,84.458,77.201,74.9375,75.497,73.058,71.9225,67.2425,61.6765,70.6275,67.64,67.41,68.87
571.15,631.85,660.325,644.575,630.625,645.025,629.025,656.975,648.525,694.15,700.575,729.15,625.475,615.625,607.825,552.525,543.425,561.525,551.15
417.03,438.97,460.11,429.955,433.31,454.675,454.21,386.99,363.89,334.975,340.76,342.97,326.34,295.445,271.26,277.795,276.355,274.155,284.28
1057.6,1092.8,1129.3,1198,1273.2,1331,1379.5,1380.55,1285.85,1237.05,1227.9,1270.55,1496.9,1460.95,1375.55,1484.35,1575.8,1546.9,1594.55
398.705,406.975,429.215,449.35,450.05,450.27,437.475,417.5,387.655,377.28,390.16,407.135,440.51,422.88,413.89,454.7,457.585,429.67,421.515
521.3,551.225,561.575,556.25,525.85,499.015,469.035,479.655,483.06,478.48,441.205,382.515,367.765,361.16,374.03,411.765,398.065,402.38,385.555
463.795,490.195,512.33,554.975,559.775,571.775,545.675,537.45,514.955,497.07,503.445,515.35,464.915,426.345,419.595,415.22,426.335,428.67,368.17
574.475,566.95,578.575,580.925,586.125,583.225,573,562.025,557.375,514.205,497.26,477.26,470.53,416.735,399.49,413.76,426.85,446.44,427.19
1084.75,1240.35,1338.1,1349.2,1366.65,1435.75,1416.25,1540.5,1478.9,1407.3,1472.5,1497.1,1358.25,1223.8,1218.6,1331.5,1320.55,1320.55,1328.2
186.49,184.56,203.865,198,184.985,176.53,177.965,182.555,169.255,160.655,174.18,155.99,147.875,157.845,177.43,201.315,197.94,190.54,188.065
923.265,904.72,874.855,889.26,890.5106,889.095,843.385,850.405,856.735,882.585,924.6,923.995,919.56,940.85,961.87,964.695,990.505,989.62,981.665
407.04,396.67,367.175,350.84,367.27,373.08,435.7,404.84,345.035,328.045,356.855,368.185,342.01,275.41,254.665,273.34,326.66,284.485,252.665
194.24,215.525,226.335,232.11,231.4,216.975,207.955,217.7,198.5,192.05,210.29,203.55,179.425,158.99,164.285,186.63,191.885,175.08,179.195
204.105,230.5,240.55,258.61,267.67,278.405,298.145,285.94,284.82,277.84,293.49,274.81,275.43,253.805,256.115,273.915,255.23,245.235,254.135
653.1,782.95,890.2,982.8,874.2,896.825,896.95,859.825,834.7,791.325,881.275,781.975,789.125,727,746.975,927.6,884.6,821.525,756.95
2519,2657.95,2744.75,2839.3,3051.7,2940.15,2939.1,2988.5,2925.65,3110.75,3367.85,3587.85,3375.85,3048.8,3020.6,3095.7,2985.5,2866.9,2795.25
813.4,836.6,860.625,839.65,844.975,845.875,823.3,862.925,854.225,837.325,836.8,884.75,909.125,869.25,821.05,886.25,906.6,851.6,853.325
906.79745,855.72255,826.1978,835.64775,864.72265,843.1977,819.87275,804.37325,758.15,750.3,816.425,822.925,847.075,864.375,842.825,800.125,809.775,808.9,840.425
585.575,591.625,539.15,568.675,549.025,548.4,519.39,454.18,470.44,555.625,585.75,555.825,541.775,553.525,615.6,697,691.025,739.05,854.25
1525.55,1614.4,1677.725,1677.375,1628.225,1608.325,1577.175,1541.85,1430.3,1402.225,1517.35,1522.775,1509.475,1373.4,1217,1329.925,1346.05,1326.975,1307.275
1228.6,1377,1458.9,1431.85,1327.9,1301.5,1236.75,1206.9,1123.65,1138.25,1029.875,814.8,751.1,721.5,777.55,875.9,851.125,808.45,829.775
666.375,719.35,762.95,787.825,835.95,827.175,833.975,898.675,882.875,836.625,817.9,840.4,803.9,778.15,762.3,841.925,832.6,812.8,819.375
306.715,315.4,331.935,350.58,365.225,361.69,361.745,348.475,311.095,293.495,304.35,315.23,288.33,268.905,262,291.435,307.835,322.7,336.855
186.735,192.935,198.295,195.75,206.98,234.87,228.92,234.695,231.5,228.58,225.915,246.15,269.76,248.375,228.845,235.44,225.35,228.64,239.925
