"","V1","V2"
"127","PHNX.L","1.86e+09"
"128","PNN.L","3.68e+09"
"129","POLY.L","5.02e+09"
"130","PRU.L","3.551e+10"
"131","PSON.L","7.06e+09"
"132","PTEC.L","2.87e+09"
"133","PZC.L","1.42e+09"
"134","QQ.L","1.33e+09"
"135","RB.L","5.235e+10"
"136","RBS.L","2.196e+10"
"137","RDSB.L","1.608e+11"
"138","RDW.L","1.25e+09"
"139","REL.L","2.989e+10"
"140","RGU.L","2.88e+09"
"141","RIGD.IL","9.842355e+13"
"142","RIO.L","4.4e+10"
"143","RMG.L","5.15e+09"
"144","ROR.L","1.81e+09"
"145","RPC.L","1.64e+09"
"146","RR.L","1.451e+10"
"147","RRS.L","7.82e+09"
"148","RSA.L","5.15e+09"
"149","RSW.L","1.94e+09"
"150","RTO.L","4e+09"
"151","RYA.L","1.505e+10"
"152","SAB.L","7.035e+10"
"153","SBRY.L","4.64e+09"
"154","SDR.L","7.5e+09"
"155","SDRC.L","5.58e+09"
"156","SGE.L","7.92e+09"
"157","SGP.L","1.29e+09"
"158","SHB.L","2.66e+09"
"159","SHP.L","3.462e+10"
"160","SKY.L","1.452e+10"
"161","SL.L","6.96e+09"
"162","SMDS.L","3.94e+09"
"163","SMIN.L","5.35e+09"
"164","SMWH.L","1.77e+09"
"165","SN.L","1.122e+10"
"166","SPD.L","1.78e+09"
"167","SPX.L","3.21e+09"
"168","SRP.L","1.41e+09"
"169","SSE.L","1.528e+10"
"170","STAN.L","2.05e+10"
"171","STJ.L","4.96e+09"
"172","SVS.L","1.03e+09"
"173","SVT.L","5.68e+09"
"174","SXS.L","2.33e+09"
"175","TALK.L","2.07e+09"
"176","TATE.L","3.43e+09"
"177","TCG.L","1.01e+09"
"178","TED.L","1.1e+09"
"179","TLW.L","2.13e+09"
"180","TPK.L","3.87e+09"
"181","TSCO.L","1.294e+10"
"182","TTA.L","1.0291e+11"
"183","TW.L","4.99e+09"
"184","TYT.L","1.816445e+13"
"185","UBM.L","2.68e+09"
"186","ULE.L","1.21e+09"
"187","ULVR.L","1.0238e+11"
"188","UTG.L","1.38e+09"
"189","UU.L","6.73e+09"
"190","VCT.L","1.32e+09"
"191","VED.L","1.52e+09"
"192","VOD.L","6.243e+10"
"193","VSVS.L","1.02e+09"
"194","WEIR.L","3.36e+09"
"195","WG.L","2.7e+09"
"196","WKP.L","1.06e+09"
"197","WMH.L","2.76e+09"
"198","WOS.L","1.093e+10"
"199","WPP.L","2.249e+10"
"200","WTB.L","7.41e+09"
