"x"
"X"
"AAL.L"
"ABF.L"
"ADM.L"
"ADN.L"
"AGK.L"
"AMFW.L"
"ANA.L"
"ARM.L"
"ASHM.L"
"ATK.L"
"AV.L"
"AVV.L"
"AZN.L"
"BA.L"
"BARC.L"
"BATS.L"
"BBY.L"
"BCA.L"
"BDEV.L"
"BEZ.L"
"BFA.L"
"BGEO.L"
"BKG.L"
"BKIR.L"
"BLT.L"
"BME.L"
"BNC.L"
"BNZL.L"
"BOE.L"
"BOK.L"
"BP.L"
"BRBY.L"
"BWO.L"
"BWY.L"
"BYG.L"
"CAPC.L"
"CBG.L"
"CCH.L"
"CEY.L"
"CNA.L"
"CNE.L"
"COB.L"
"CPG.L"
"CPI.L"
"DGE.L"
"DLG.L"
"DLN.L"
"DMGT.L"
"DNLM.L"
"DOM.L"
"DRX.L"
"ECM.L"
"ELM.L"
"EMG.L"
"ERM.L"
"ESNT.L"
"ESUR.L"
"ETO.L"
"EVR.L"
"EWG.L"
"EXPN.L"
"EZJ.L"
"FGP.L"
"FRES.L"
"GFS.L"
"GFTU.L"
"GKN.L"
"GLEN.L"
"GNC.L"
"GNK.L"
"GNS.L"
"GPOR.L"
"GSK.L"
"HAS.L"
"HIK.L"
"HL.L"
"HMSO.L"
"HOME.L"
"HON.L"
"HSBA.L"
"HSV.L"
"HSX.L"
"HWDN.L"
"IAG.L"
"IAP.L"
"IBM.L"
"ICP.L"
"IGG.L"
"IHG.L"
"IMI.L"
"INCH.L"
"INDV.L"
"INF.L"
"IPO.L"
"ISAT.L"
"ITRK.L"
"ITV.L"
"JD.L"
"JDW.L"
"JE.L"
"JEL.L"
"JLT.L"
"JPM.L"
"JUP.L"
"KGF.L"
"KGP.L"
"KIE.L"
"KNM.L"
"KYGA.L"
"LAD.L"
"LAND.L"
"LGEN.L"
"LLOY.L"
"LRE.L"
"MAB.L"
"MCRO.L"
"MEL.L"
"MERL.L"
"MGGT.L"
"MKS.L"
"MLC.L"
"MNDI.L"
"MRW.L"
"NG.L"
"NXT.L"
"OCDO.L"
"OML.L"
"PETS.L"
"PFC.L"
"PFG.L"
"PFZ.L"
"PHNX.L"
"PNN.L"
"POLY.L"
"PRU.L"
"PSON.L"
"PTEC.L"
"PZC.L"
"QQ.L"
"RB.L"
"RBS.L"
"RDSB.L"
"RDW.L"
"REL.L"
"RGU.L"
"RIGD.IL"
"RIO.L"
"RMG.L"
"ROR.L"
"RPC.L"
"RR.L"
"RRS.L"
"RSA.L"
"RSW.L"
"RTO.L"
"RYA.L"
"SAB.L"
"SAGA.L"
"SBRY.L"
"SDR.L"
"SDRC.L"
"SGE.L"
"SGP.L"
"SHB.L"
"SHP.L"
"SKY.L"
"SL.L"
"SMDS.L"
"SMIN.L"
"SMWH.L"
"SN.L"
"SPD.L"
"SPI.L"
"SPX.L"
"SRP.L"
"SSE.L"
"SSPG.L"
"STAN.L"
"STJ.L"
"SVS.L"
"SVT.L"
"SXS.L"
"TALK.L"
"TATE.L"
"TCG.L"
"TED.L"
"TLW.L"
"TPK.L"
"TSCO.L"
"TTA.L"
"TW.L"
"TYT.L"
"UBM.L"
"ULE.L"
"ULVR.L"
"UTG.L"
"UU.L"
"VCT.L"
"VED.L"
"VM.L"
"VOD.L"
"VSVS.L"
"WEIR.L"
"WG.L"
"WKP.L"
"WMH.L"
"WOS.L"
"WPP.L"
"WTB.L"
"ZPLA.L"
