"","FTSE100_list"
"1","AAL"
"2","ABF"
"3","ADM"
"4","ADN"
"5","AGK"
"6","AMFW"
"7","ANA"
"8","ARM"
"9","ASHM"
"10","ATK"
"11","AV"
"12","AVV"
"13","AZN"
"14","BA"
"15","BARC"
"16","BATS"
"17","BBY"
"18","BCA"
"19","BDEV"
"20","BEZ"
"21","BFA"
"22","BGEO"
"23","BKG"
"24","BKIR"
"25","BLT"
"26","BME"
"27","BNC"
"28","BNZL"
"29","BOE"
"30","BOK"
"31","BP"
"32","BRBY"
"33","BWO"
"34","BWY"
"35","BYG"
"36","CAPC"
"37","CBG"
"38","CCH"
"39","CEY"
"40","CNA"
"41","CNE"
"42","COB"
"43","CPG"
"44","CPI"
"45","DGE"
"46","DLG"
"47","DLN"
"48","DMGT"
"49","DNLM"
"50","DOM"
"51","DRX"
"52","ECM"
"53","ELM"
"54","EMG"
"55","ERM"
"56","ESNT"
"57","ESUR"
"58","ETO"
"59","EVR"
"60","EWG"
"61","EXPN"
"62","EZJ"
"63","FGP"
"64","FRES"
"65","GFS"
"66","GFTU"
"67","GKN"
"68","GLEN"
"69","GNC"
"70","GNK"
"71","GNS"
"72","GPOR"
"73","GSK"
"74","HAS"
"75","HIK"
"76","HL"
"77","HMSO"
"78","HOME"
"79","HON"
"80","HSBA"
"81","HSV"
"82","HSX"
"83","HWDN"
"84","IAG"
"85","IAP"
"86","IBM"
"87","ICP"
"88","IGG"
"89","IHG"
"90","IMI"
"91","INCH"
"92","INDV"
"93","INF"
"94","IPO"
"95","ISAT"
"96","ITRK"
"97","ITV"
"98","JD"
"99","JDW"
"100","JE"
"101","JEL"
"102","JLT"
"103","JPM"
"104","JUP"
"105","KGF"
"106","KGP"
"107","KIE"
"108","KNM"
"109","KYGA"
"110","LAD"
"111","LAND"
"112","LGEN"
"113","LLOY"
"114","LRE"
"115","MAB"
"116","MCRO"
"117","MEL"
"118","MERL"
"119","MGGT"
"120","MKS"
"121","MLC"
"122","MNDI"
"123","MRW"
"124","NG"
"125","NXT"
"126","OCDO"
"127","OML"
"128","PETS"
"129","PFC"
"130","PFG"
"131","PFZ"
"132","PHNX"
"133","PNN"
"134","POLY"
"135","PRU"
"136","PSON"
"137","PTEC"
"138","PZC"
"139","QQ"
"140","RB"
"141","RBS"
"142","RDSB"
"143","RDW"
"144","REL"
"145","RGU"
"146","RIGD"
"147","RIO"
"148","RMG"
"149","ROR"
"150","RPC"
"151","RR"
"152","RRS"
"153","RSA"
"154","RSW"
"155","RTO"
"156","RYA"
"157","SAB"
"158","SAGA"
"159","SBRY"
"160","SDR"
"161","SDRC"
"162","SGE"
"163","SGP"
"164","SHB"
"165","SHP"
"166","SKY"
"167","SL"
"168","SMDS"
"169","SMIN"
"170","SMWH"
"171","SN"
"172","SPD"
"173","SPI"
"174","SPX"
"175","SRP"
"176","SSE"
"177","SSPG"
"178","STAN"
"179","STJ"
"180","SVS"
"181","SVT"
"182","SXS"
"183","TALK"
"184","TATE"
"185","TCG"
"186","TED"
"187","TLW"
"188","TPK"
"189","TSCO"
"190","TTA"
"191","TW"
"192","TYT"
"193","UBM"
"194","ULE"
"195","ULVR"
"196","UTG"
"197","UU"
"198","VCT"
"199","VED"
"200","VM"
"201","VOD"
"202","VSVS"
"203","WEIR"
"204","WG"
"205","WKP"
"206","WMH"
"207","WOS"
"208","WPP"
"209","WTB"
"210","ZPLA"
